SEASON,TEAM,ACTUAL_WINS,SIM_ALL_WINS,ERR_ALL,SIM_NOTANK_WINS,ERR_NOTANK
2021-22,DEN,48,47.649,0.3509999999999991,47.592,0.4080000000000012
2021-22,DAL,52,47.176,4.823999999999998,47.357,4.643000000000001
2021-22,CHI,46,44.854,1.1460000000000008,44.859,1.1409999999999982
2021-22,BKN,44,43.729,0.2710000000000008,43.52,0.4799999999999969
2021-22,MIN,46,43.068,2.932000000000002,43.89,2.1099999999999994
2021-22,CLE,44,42.879,1.1210000000000022,42.722,1.2779999999999987
2021-22,ATL,43,42.596,0.4040000000000034,42.881,0.1189999999999997
2021-22,TOR,48,42.164,5.835999999999999,41.998,6.002000000000002
2021-22,LAC,42,41.994,0.0060000000000002,41.888,0.1120000000000018
2021-22,NYK,37,40.921,3.921,40.945,3.945
2021-22,CHA,43,40.067,2.933,40.274,2.725999999999999
2021-22,WAS,35,39.6,4.600000000000001,39.839,4.838999999999999
2021-22,LAL,33,37.506,4.506,37.519,4.518999999999998
2021-22,SAS,34,37.364,3.363999999999997,37.5,3.5
2021-22,NOP,36,36.25,0.25,36.327,0.3269999999999982
2021-22,POR,27,35.485,8.485,35.177,8.177
2021-22,IND,25,35.171,10.171,35.351,10.351
2021-22,SAC,30,31.175,1.1750000000000007,31.173,1.1729999999999985
2021-22,HOU,20,24.472,4.472000000000001,23.955,3.9549999999999983
2021-22,OKC,24,24.344,0.3440000000000012,24.902,0.902000000000001
2021-22,DET,23,23.761,0.7609999999999992,24.278,1.2779999999999987
2021-22,ORL,22,22.595,0.5949999999999989,23.019,1.0189999999999984
2022-23,BOS,57,51.766,5.234000000000002,52.258,4.741999999999997
2022-23,CLE,51,49.468,1.5319999999999965,49.342,1.6580000000000013
2022-23,MEM,51,49.463,1.536999999999999,49.373,1.6270000000000024
2022-23,MIL,58,49.437,8.563000000000002,49.512,8.488
2022-23,DEN,53,49.356,3.6439999999999984,49.194,3.805999999999997
2022-23,PHI,54,48.932,5.067999999999998,48.843,5.1569999999999965
2022-23,PHX,45,47.011,2.011000000000003,46.643,1.643000000000001
2022-23,DAL,38,45.893,7.893000000000001,45.859,7.859000000000002
2022-23,BKN,45,45.25,0.25,45.741,0.7409999999999997
2022-23,SAC,48,44.695,3.305,44.943,3.057000000000002
2022-23,NYK,47,44.164,2.8359999999999985,44.679,2.320999999999998
2022-23,MIA,44,43.982,0.0180000000000006,43.916,0.0840000000000031
2022-23,TOR,41,43.926,2.926000000000002,43.287,2.286999999999999
2022-23,GSW,44,43.863,0.1370000000000004,44.358,0.357999999999997
2022-23,NOP,42,43.465,1.4650000000000034,43.662,1.661999999999999
2022-23,MIN,42,42.3,0.2999999999999971,42.209,0.2090000000000031
2022-23,UTA,37,42.196,5.195999999999998,41.642,4.642000000000003
2022-23,ATL,41,41.966,0.9660000000000012,42.493,1.493000000000002
2022-23,LAC,44,40.847,3.1529999999999987,40.827,3.173000000000002
2022-23,CHI,40,40.392,0.392000000000003,40.264,0.2640000000000029
2022-23,OKC,40,38.283,1.7169999999999987,38.198,1.802
2022-23,LAL,43,37.264,5.735999999999997,37.546,5.454000000000001
2022-23,WAS,35,37.023,2.0230000000000032,36.586,1.5859999999999983
2022-23,IND,35,35.256,0.2560000000000002,34.821,0.179000000000002
2022-23,ORL,34,33.747,0.2530000000000001,33.995,0.0050000000000025
2022-23,POR,33,33.351,0.3509999999999991,32.722,0.2779999999999987
2022-23,CHA,27,30.3,3.3000000000000007,30.441,3.440999999999999
2022-23,SAS,22,26.727,4.727,26.833,4.832999999999998
2022-23,DET,17,26.063,9.063,25.672,8.672
2022-23,HOU,22,23.614,1.6140000000000008,24.141,2.1409999999999982
2023-24,BOS,64,55.191,8.808999999999997,54.68,9.32
2023-24,DEN,57,50.149,6.850999999999999,49.905,7.094999999999999
2023-24,MIN,56,50.142,5.857999999999997,50.24,5.759999999999998
2023-24,OKC,57,49.38,7.619999999999997,49.738,7.262
2023-24,NYK,50,48.926,1.073999999999998,48.595,1.4050000000000011
2023-24,MIL,49,48.839,0.1610000000000013,48.115,0.884999999999998
2023-24,LAC,51,48.695,2.305,48.294,2.706000000000003
2023-24,CLE,48,48.377,0.3770000000000024,48.195,0.1950000000000002
2023-24,NOP,49,48.093,0.9069999999999964,47.61,1.3900000000000006
2023-24,PHX,49,47.318,1.6820000000000022,47.333,1.6670000000000016
2023-24,GSW,46,46.369,0.3689999999999998,46.337,0.3370000000000033
2023-24,PHI,47,45.965,1.0349999999999966,45.834,1.1659999999999968
2023-24,ORL,47,45.295,1.7049999999999983,44.915,2.085000000000001
2023-24,MIA,46,45.197,0.8029999999999973,45.109,0.8909999999999982
2023-24,SAC,46,43.747,2.253,43.603,2.3969999999999985
2023-24,DAL,50,43.296,6.704000000000001,43.007,6.993000000000002
2023-24,LAL,47,43.283,3.716999999999999,42.604,4.396000000000001
2023-24,IND,47,42.203,4.796999999999997,42.274,4.725999999999999
2023-24,CHI,39,39.461,0.4609999999999985,39.494,0.4939999999999998
2023-24,ATL,36,39.433,3.433,39.335,3.335000000000001
2023-24,HOU,41,39.23,1.7700000000000031,39.003,1.997
2023-24,BKN,32,38.858,6.857999999999997,39.118,7.118000000000002
2023-24,TOR,25,33.807,8.807000000000002,34.482,9.482
2023-24,UTA,31,32.597,1.5970000000000013,32.845,1.8449999999999989
2023-24,MEM,27,31.475,4.475000000000001,32.147,5.146999999999999
2023-24,CHA,21,26.454,5.454000000000001,27.035,6.035
2023-24,SAS,22,26.164,4.1640000000000015,26.342,4.341999999999999
2023-24,WAS,15,24.67,9.670000000000002,24.815,9.815
2023-24,POR,21,24.639,3.6389999999999993,24.619,3.619
2023-24,DET,14,22.747,8.747,24.377,10.377
